% Model:              negative index.PE and PM.mph
% Version:            COMSOL 4.4.0.248
% Date:               Jun 30 2014, 10:57
% Table:              Table 1 - Global Evaluation 1 (emw.S11)
% freq                                            S-parameter, 11 component (1)                     S-parameter, 21 component (1)
2.0E9                                             -0.9510997158476803+0.29641808404659403i          0.022916848661259103+0.07058520516940463i
2.1E9                                             -0.9461306348630898+0.31086525952949945i          0.02521004033078374+0.0738193912676309i
2.2E9                                             -0.9409163565423889+0.3252582734629741i           0.027613871403820243+0.07701029653326719i
2.3E9                                             -0.9354537288765519+0.3395966538884375i           0.030130382466353387+0.08015744592056723i
2.4E9                                             -0.9297420237755344+0.3538771969340388i           0.032759569105564+0.08325805889380648i
2.5E9                                             -0.9237800412990785+0.36809622276093856i          0.0355017322400355+0.08630891417128461i
2.6E9                                             -0.9175666136847602+0.3822515907548744i           0.03835713478662136+0.08930807767601324i
2.7E9                                             -0.9111006684720708+0.39634000207691655i          0.041325870342383254+0.09225260325019372i
2.8E9                                             -0.9043810879294975+0.4103584116278193i           0.044408011623146545+0.09513972409806182i
2.9E9                                             -0.8974056370493024+0.42430374615047944i          0.04760452580894558+0.09796656216302842i
3.0E9                                             -0.890171612776909+0.4381753334313844i            0.05091682426016696+0.10073221211884929i
3.1E9                                             -0.8826823280516676+0.4519666233393638i           0.05434082977073665+0.10343110451280209i
3.2E9                                             -0.8749315715203431+0.4656733602671985i           0.057880575701322184+0.10605897666027614i
3.3E9                                             -0.8669203903049028+0.4792943798223183i           0.06153399888271111+0.10861461745692493i
3.4E9                                             -0.858643678999356+0.49282733042257165i           0.06530414947917941+0.11109537840703759i
3.5E9                                             -0.8501038245254723+0.5062670259477823i           0.06918739935869186+0.11349665966591344i
3.6E9                                             -0.841296985556891+0.5196092817300458i            0.0731853792446766+0.11581421615402661i
3.7E9                                             -0.8322192578153277+0.5328531186227021i           0.0772998344299935+0.1180464748615105i
3.8E9                                             -0.8228716241348796+0.5459910483561963i           0.08152781112211975+0.12018665465330604i
3.9E9                                             -0.8132519571544229+0.5590211454248046i           0.08586920872528903+0.12223237694381033i
4.0E9                                             -0.8033539725436651+0.5719368160106226i           0.09032696944227858+0.12417694286119295i
4.1E9                                             -0.7931810009586479+0.5847427480782412i           0.09489655468278153+0.12602392808982532i
4.2E9                                             -0.782725364014225+0.5974221182004271i            0.09958096363461082+0.1277576728502854i
4.3E9                                             -0.7719888076365284+0.609977929895199i            0.10437643691462815+0.12938007632636458i
4.4E9                                             -0.7609648959892409+0.6224023011982406i           0.1092851201778482+0.13088301024934626i
4.5E9                                             -0.7496544940022627+0.6346980584265755i           0.11430367868204756+0.13226801074940234i
4.6E9                                             -0.7380497218999316+0.6468485444161451i           0.11943412401792151+0.13351919514852437i
4.7E9                                             -0.7261529774360046+0.6588570997806811i           0.12467126515727261+0.1346385461647574i
4.8E9                                             -0.713957855680157+0.670714849063363i             0.1300159249928328+0.1356167121124549i
