!CSV A.01.01
!Agilent Technologies,E8364C,MY43040422,A.09.42.22
!Agilent E8364C: A.09.42.22
!Date: Monday, February 18, 2019 10:56:52
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
17500000000,0.14351761,-0.2945106,-4.6047416e-010,-5.2938959e-011,-0.0010746596,0.017973162,0.089240104,-0.17849725
17522500000,0.1350314,-0.29404518,-2.5580019e-010,3.9753573e-010,0.0034101075,0.017585572,-0.14360888,0.010965817
17545000000,0.12155546,-0.2995801,2.3688676e-010,4.0606776e-010,0.0091158617,0.015443691,-0.12432501,0.083491094
17567500000,0.10821361,-0.3094424,4.6158957e-010,-1.2654718e-011,0.012445426,0.013007297,0.042100359,0.1190486
17590000000,0.09352003,-0.31615248,2.1945433e-010,-3.9934825e-010,0.016725456,0.0081413817,0.11979817,-0.085746482
17612500000,0.07692451,-0.31498602,-2.3152871e-010,-3.9969389e-010,0.018175034,0.0034178547,-0.06628152,-0.16326934
17635000000,0.059303626,-0.31537834,-4.7748761e-010,9.3898951e-012,0.018256824,-0.00079829287,-0.15742087,0.13381128
17657500000,0.045882314,-0.31170246,-2.2156574e-010,4.4231768e-010,0.017195655,-0.0068928492,0.087485865,0.19784044
17680000000,0.034847531,-0.31153131,3.0037495e-010,3.9342188e-010,0.014317038,-0.010908674,0.16235439,-0.14638184
17702500000,0.026926007,-0.30591524,4.7658583e-010,-8.7661163e-011,0.010474032,-0.01393228,-0.13471152,-0.11199316
17725000000,0.012095356,-0.30224058,1.4069285e-010,-4.4354662e-010,0.0080703944,-0.01667475,-0.12043006,0.14878911
17747500000,0.00043096402,-0.29994223,-3.1133568e-010,-3.3351522e-010,0.0024591084,-0.0178522,0.067862205,0.16991706
17770000000,-0.0058596074,-0.30310845,-4.4416931e-010,1.1648221e-010,-0.0032675625,-0.018389557,0.15510418,-0.093927875
17792500000,-0.01716008,-0.30043942,-1.0076753e-010,4.56087e-010,-0.0067767729,-0.016862513,-0.10673146,-0.14809473
17815000000,-0.031383101,-0.29467729,3.63644e-010,2.9607197e-010,-0.011863408,-0.014716905,-0.2094506,0.14890394
17837500000,-0.045797821,-0.29094529,4.283289e-010,-1.8961856e-010,-0.01630755,-0.01094135,0.11949795,0.17430612
17860000000,-0.061469838,-0.28589165,3.0408571e-011,-4.6077039e-010,-0.018886136,-0.0058452147,0.18900442,-0.1041536
17882500000,-0.078633748,-0.27591589,-3.8699974e-010,-2.4449856e-010,-0.020113349,0.00048194971,-0.14386356,-0.18076557
17905000000,-0.087797239,-0.26145947,-4.0656456e-010,2.1914058e-010,-0.018518068,0.0061968365,-0.20615526,0.17382728
17927500000,-0.095310837,-0.25421113,-2.8605254e-012,4.8026644e-010,-0.015525836,0.011056753,0.15754773,0.22997968
17950000000,-0.10089336,-0.23902032,4.414811e-010,2.2802943e-010,-0.01196085,0.014794927,0.21718247,-0.15675995
